# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
4 2.02 -23.84 -8.441 0.5 0.5 29.89
4.4444 2.02 -23.84 -8.441 0.5 0.5 29.89
4.8889 2.02 -23.84 -8.441 0.5 0.5 29.89
5.3333 2.02 -23.84 -8.441 0.5 0.5 29.89
5.7778 2.02 -23.84 -8.441 0.5 0.5 29.89
6.2222 2.02 -23.84 -8.441 0.5 0.5 29.89
6.6667 2.02 -23.84 -8.441 0.5 0.5 29.89
7.1111 2.02 -23.84 -8.441 0.5 0.5 29.89
7.5556 2.02 -23.84 -8.441 0.5 0.5 29.89
8 2.02 -23.84 -8.441 0.5 0.5 29.89
4 2.02 -23.84 -8.441 0.5 0.5 32
4.4444 2.02 -23.84 -8.441 0.5 0.5 32
4.8889 2.02 -23.84 -8.441 0.5 0.5 32
5.3333 2.02 -23.84 -8.441 0.5 0.5 32
5.7778 2.02 -23.84 -8.441 0.5 0.5 32
6.2222 2.02 -23.84 -8.441 0.5 0.5 32
6.6667 2.02 -23.84 -8.441 0.5 0.5 32
7.1111 2.02 -23.84 -8.441 0.5 0.5 32
7.5556 2.02 -23.84 -8.441 0.5 0.5 32
8 2.02 -23.84 -8.441 0.5 0.5 32
