# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 2.02 0.4 -8.441 0.5 0.5 29.89
1.589 2.02 0.4 -8.441 0.5 0.5 32
1.589 2.02 0.9111 -8.441 0.5 0.5 29.89
1.589 2.02 0.9111 -8.441 0.5 0.5 32
1.589 2.02 1.4222 -8.441 0.5 0.5 29.89
1.589 2.02 1.4222 -8.441 0.5 0.5 32
1.589 2.02 1.9333 -8.441 0.5 0.5 29.89
1.589 2.02 1.9333 -8.441 0.5 0.5 32
1.589 2.02 2.4444 -8.441 0.5 0.5 29.89
1.589 2.02 2.4444 -8.441 0.5 0.5 32
1.589 2.02 2.9556 -8.441 0.5 0.5 29.89
1.589 2.02 2.9556 -8.441 0.5 0.5 32
1.589 2.02 3.4667 -8.441 0.5 0.5 29.89
1.589 2.02 3.4667 -8.441 0.5 0.5 32
1.589 2.02 3.9778 -8.441 0.5 0.5 29.89
1.589 2.02 3.9778 -8.441 0.5 0.5 32
1.589 2.02 4.4889 -8.441 0.5 0.5 29.89
1.589 2.02 4.4889 -8.441 0.5 0.5 32
1.589 2.02 5 -8.441 0.5 0.5 29.89
1.589 2.02 5 -8.441 0.5 0.5 32
