# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 2.02 -40 -40 0.5 0.5 29.89
1.589 2.02 -35.6667 -35.6667 0.5 0.5 29.89
1.589 2.02 -31.3333 -31.3333 0.5 0.5 29.89
1.589 2.02 -27 -27 0.5 0.5 29.89
1.589 2.02 -22.6667 -22.6667 0.5 0.5 29.89
1.589 2.02 -18.3333 -18.3333 0.5 0.5 29.89
1.589 2.02 -14 -14 0.5 0.5 29.89
1.589 2.02 -9.6667 -9.6667 0.5 0.5 29.89
1.589 2.02 -5.3333 -5.3333 0.5 0.5 29.89
1.589 2.02 -1 -1 0.5 0.5 29.89
1.589 2.02 -40 -40 0.5 0.5 32
1.589 2.02 -35.6667 -35.6667 0.5 0.5 32
1.589 2.02 -31.3333 -31.3333 0.5 0.5 32
1.589 2.02 -27 -27 0.5 0.5 32
1.589 2.02 -22.6667 -22.6667 0.5 0.5 32
1.589 2.02 -18.3333 -18.3333 0.5 0.5 32
1.589 2.02 -14 -14 0.5 0.5 32
1.589 2.02 -9.6667 -9.6667 0.5 0.5 32
1.589 2.02 -5.3333 -5.3333 0.5 0.5 32
1.589 2.02 -1 -1 0.5 0.5 32
