# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
0.4 2.020 -23.84 -8.441 0.5 0.5 29.89
0.4 2.020 -23.84 -8.441 0.5 0.5 32
0.9111 2.020 -23.84 -8.441 0.5 0.5 29.89
0.9111 2.020 -23.84 -8.441 0.5 0.5 32
1.4222 2.020 -23.84 -8.441 0.5 0.5 29.89
1.4222 2.020 -23.84 -8.441 0.5 0.5 32
1.9333 2.020 -23.84 -8.441 0.5 0.5 29.89
1.9333 2.020 -23.84 -8.441 0.5 0.5 32
2.4444 2.020 -23.84 -8.441 0.5 0.5 29.89
2.4444 2.020 -23.84 -8.441 0.5 0.5 32
2.9556 2.020 -23.84 -8.441 0.5 0.5 29.89
2.9556 2.020 -23.84 -8.441 0.5 0.5 32
3.4667 2.020 -23.84 -8.441 0.5 0.5 29.89
3.4667 2.020 -23.84 -8.441 0.5 0.5 32
3.9778 2.020 -23.84 -8.441 0.5 0.5 29.89
3.9778 2.020 -23.84 -8.441 0.5 0.5 32
4.4889 2.020 -23.84 -8.441 0.5 0.5 29.89
4.4889 2.020 -23.84 -8.441 0.5 0.5 32
5 2.020 -23.84 -8.441 0.5 0.5 29.89
5 2.020 -23.84 -8.441 0.5 0.5 32
