# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
0.5 0.5 -23.84 -8.441 0.5 0.5 32
0.8889 0.8889 -23.84 -8.441 0.5 0.5 32
1.2778 1.2778 -23.84 -8.441 0.5 0.5 32
1.6667 1.6667 -23.84 -8.441 0.5 0.5 32
2.0556 2.0556 -23.84 -8.441 0.5 0.5 32
2.4444 2.4444 -23.84 -8.441 0.5 0.5 32
2.8333 2.8333 -23.84 -8.441 0.5 0.5 32
3.2222 3.2222 -23.84 -8.441 0.5 0.5 32
3.6111 3.6111 -23.84 -8.441 0.5 0.5 32
4 4 -23.84 -8.441 0.5 0.5 32
0.5 0.5 -23.84 -8.441 0.5 0.5 29.89
0.8889 0.8889 -23.84 -8.441 0.5 0.5 29.89
1.2778 1.2778 -23.84 -8.441 0.5 0.5 29.89
1.6667 1.6667 -23.84 -8.441 0.5 0.5 29.89
2.0556 2.0556 -23.84 -8.441 0.5 0.5 29.89
2.4444 2.4444 -23.84 -8.441 0.5 0.5 29.89
2.8333 2.8333 -23.84 -8.441 0.5 0.5 29.89
3.2222 3.2222 -23.84 -8.441 0.5 0.5 29.89
3.6111 3.6111 -23.84 -8.441 0.5 0.5 29.89
4 4 -23.84 -8.441 0.5 0.5 29.89
