# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 0.4 -23.84 -8.441 0.5 0.5 29.89
1.589 0.4 -23.84 -8.441 0.5 0.5 32
1.589 0.9111 -23.84 -8.441 0.5 0.5 29.89
1.589 0.9111 -23.84 -8.441 0.5 0.5 32
1.589 1.4222 -23.84 -8.441 0.5 0.5 29.89
1.589 1.4222 -23.84 -8.441 0.5 0.5 32
1.589 1.9333 -23.84 -8.441 0.5 0.5 29.89
1.589 1.9333 -23.84 -8.441 0.5 0.5 32
1.589 2.4444 -23.84 -8.441 0.5 0.5 29.89
1.589 2.4444 -23.84 -8.441 0.5 0.5 32
1.589 2.9556 -23.84 -8.441 0.5 0.5 29.89
1.589 2.9556 -23.84 -8.441 0.5 0.5 32
1.589 3.4667 -23.84 -8.441 0.5 0.5 29.89
1.589 3.4667 -23.84 -8.441 0.5 0.5 32
1.589 3.9778 -23.84 -8.441 0.5 0.5 29.89
1.589 3.9778 -23.84 -8.441 0.5 0.5 32
1.589 4.4889 -23.84 -8.441 0.5 0.5 29.89
1.589 4.4889 -23.84 -8.441 0.5 0.5 32
1.589 5 -23.84 -8.441 0.5 0.5 29.89
1.589 5 -23.84 -8.441 0.5 0.5 32
