# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 2.02 -23.84 0.4 0.5 0.5 29.89
1.589 2.02 -23.84 0.4 0.5 0.5 32
1.589 2.02 -23.84 0.9111 0.5 0.5 29.89
1.589 2.02 -23.84 0.9111 0.5 0.5 32
1.589 2.02 -23.84 1.4222 0.5 0.5 29.89
1.589 2.02 -23.84 1.4222 0.5 0.5 32
1.589 2.02 -23.84 1.9333 0.5 0.5 29.89
1.589 2.02 -23.84 1.9333 0.5 0.5 32
1.589 2.02 -23.84 2.4444 0.5 0.5 29.89
1.589 2.02 -23.84 2.4444 0.5 0.5 32
1.589 2.02 -23.84 2.9556 0.5 0.5 29.89
1.589 2.02 -23.84 2.9556 0.5 0.5 32
1.589 2.02 -23.84 3.4667 0.5 0.5 29.89
1.589 2.02 -23.84 3.4667 0.5 0.5 32
1.589 2.02 -23.84 3.9778 0.5 0.5 29.89
1.589 2.02 -23.84 3.9778 0.5 0.5 32
1.589 2.02 -23.84 4.4889 0.5 0.5 29.89
1.589 2.02 -23.84 4.4889 0.5 0.5 32
1.589 2.02 -23.84 5 0.5 0.5 29.89
1.589 2.02 -23.84 5 0.5 0.5 32
