# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
0.5 0.5 -23.84 -8.441 0.5 0.5 29.89
0.5 0.5 -23.84 -8.441 0.5 0.5 32
0.8889 0.5 -23.84 -8.441 0.5 0.5 29.89
0.8889 0.5 -23.84 -8.441 0.5 0.5 32
1.2778 0.5 -23.84 -8.441 0.5 0.5 29.89
1.2778 0.5 -23.84 -8.441 0.5 0.5 32
1.6667 0.5 -23.84 -8.441 0.5 0.5 29.89
1.6667 0.5 -23.84 -8.441 0.5 0.5 32
2.0556 0.5 -23.84 -8.441 0.5 0.5 29.89
2.0556 0.5 -23.84 -8.441 0.5 0.5 32
2.4444 0.5 -23.84 -8.441 0.5 0.5 29.89
2.4444 0.5 -23.84 -8.441 0.5 0.5 32
2.8333 0.5 -23.84 -8.441 0.5 0.5 29.89
2.8333 0.5 -23.84 -8.441 0.5 0.5 32
3.2222 0.5 -23.84 -8.441 0.5 0.5 29.89
3.2222 0.5 -23.84 -8.441 0.5 0.5 32
3.6111 0.5 -23.84 -8.441 0.5 0.5 29.89
3.6111 0.5 -23.84 -8.441 0.5 0.5 32
4 0.5 -23.84 -8.441 0.5 0.5 29.89
4 0.5 -23.84 -8.441 0.5 0.5 32
