# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 2.02 -23.84 -8.441 0.5 0.5 29.89
1.589 2.02 -23.84 -8.441 0.5 0.5 32
1.589 2.02 -23.84 -8.441 0.5 0.7778 29.89
1.589 2.02 -23.84 -8.441 0.5 0.7778 32
1.589 2.02 -23.84 -8.441 0.5 1.0556 29.89
1.589 2.02 -23.84 -8.441 0.5 1.0556 32
1.589 2.02 -23.84 -8.441 0.5 1.3333 29.89
1.589 2.02 -23.84 -8.441 0.5 1.3333 32
1.589 2.02 -23.84 -8.441 0.5 1.6111 29.89
1.589 2.02 -23.84 -8.441 0.5 1.6111 32
1.589 2.02 -23.84 -8.441 0.5 1.8889 29.89
1.589 2.02 -23.84 -8.441 0.5 1.8889 32
1.589 2.02 -23.84 -8.441 0.5 2.1667 29.89
1.589 2.02 -23.84 -8.441 0.5 2.1667 32
1.589 2.02 -23.84 -8.441 0.5 2.4444 29.89
1.589 2.02 -23.84 -8.441 0.5 2.4444 32
1.589 2.02 -23.84 -8.441 0.5 2.7222 29.89
1.589 2.02 -23.84 -8.441 0.5 2.7222 32
1.589 2.02 -23.84 -8.441 0.5 3 29.89
1.589 2.02 -23.84 -8.441 0.5 3 32
