# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 2.02 -23.84 -8.441 0.5 0.5 29.89
1.589 2.02 -23.84 -8.441 0.5 0.5 32
1.589 2.02 -23.84 -8.441 0.5222 0.5 29.89
1.589 2.02 -23.84 -8.441 0.5222 0.5 32
1.589 2.02 -23.84 -8.441 0.5444 0.5 29.89
1.589 2.02 -23.84 -8.441 0.5444 0.5 32
1.589 2.02 -23.84 -8.441 0.5667 0.5 29.89
1.589 2.02 -23.84 -8.441 0.5667 0.5 32
1.589 2.02 -23.84 -8.441 0.5889 0.5 29.89
1.589 2.02 -23.84 -8.441 0.5889 0.5 32
1.589 2.02 -23.84 -8.441 0.6111 0.5 29.89
1.589 2.02 -23.84 -8.441 0.6111 0.5 32
1.589 2.02 -23.84 -8.441 0.6333 0.5 29.89
1.589 2.02 -23.84 -8.441 0.6333 0.5 32
1.589 2.02 -23.84 -8.441 0.6556 0.5 29.89
1.589 2.02 -23.84 -8.441 0.6556 0.5 32
1.589 2.02 -23.84 -8.441 0.6778 0.5 29.89
1.589 2.02 -23.84 -8.441 0.6778 0.5 32
1.589 2.02 -23.84 -8.441 0.7 0.5 29.89
1.589 2.02 -23.84 -8.441 0.7 0.5 32
